name,filter,mjd_max,flux_max,flux_err_max
SN2010Y,r,55249.0,2.666531589925577e-15,2.4025448952298167e-17
SN1994S,B,49519.0,7.53315754289809e-15,2.1507183327434052e-16
SN1994S,V,49519.0,4.155517965801457e-15,9.983482088561067e-17
SN1992A,V,48645.0,3.65517923904945e-14,5.8587901143929935e-16
SN1992A,B,48639.0,5.666951036145546e-14,5.218022021030898e-16
SN2013dh,V,56467.0,3.0290940639917575e-16,1.0377957248081729e-17
SN2013dh,I,56470.0,1.2584702179815468e-16,6.1079248704014475e-18
SN2013dh,R,56470.0,2.2244922756051637e-16,8.534754948716169e-18
SN2007fr,B,54302.0,2.758495482533456e-16,3.610442085365526e-18
SN2007fr,I,54308.0,5.152769409488344e-17,1.7508759980048562e-18
SN2007fr,R,54304.0,1.1422664575276647e-16,2.8272137759152707e-18
SN2007fr,V,54304.0,1.721245360598364e-16,3.3199548950406237e-18
SN2006et,g,53994.0,2.064923348396241e-15,6.521514774688188e-18
SN2006et,r,53996.0,1.325277473103081e-15,4.541794265922191e-18
SN2006et,B,53993.0,2.4920275943109754e-15,8.79032999054954e-18
SN2006et,V,53995.0,1.6538075936330157e-15,6.07440490659665e-18
SN2006et,i,53992.0,5.452519424216457e-16,5.143652748482009e-18
SN2011by,B,55691.0,4.344758290434178e-14,4.639497893708292e-16
SN2011by,I,55688.0,7.592158020823617e-15,1.2068333559798079e-16
SN2011by,R,55692.0,1.6241961572529322e-14,2.1124427092908157e-16
SN2011by,V,55693.0,2.5208825088567633e-14,2.628955673742539e-16
SN2011by,U,55688.0,4.8313168801124854e-14,5.882294768436768e-16
SN2001el,B,52182.0,4.6789707248385734e-14,1.9684880548484607e-16
SN2001el,I,52180.0,8.895616886261281e-15,4.04252508553319e-17
SN2001el,R,52184.0,1.9430846782049525e-14,3.088767833586999e-16
SN2001el,V,52185.0,2.965415456012017e-14,1.1956010216118744e-16
SN2002cr,R,52411.0,4.542705453534385e-15,1.4954321165718246e-16
SN2002cr,B,52409.0,1.2625561285346945e-14,4.5874430033276086e-17
SN2002cr,I,52406.0,2.1513881425718703e-15,1.0176263448843867e-17
SN2002cr,V,52411.0,6.7596472553479884e-15,3.590853724585558e-17
SN2006eu,I,53991.0,1.6866758476501922e-16,3.0054864363994673e-18
SN2006eu,R,53988.0,3.148001221612256e-16,4.573301728724853e-18
SN2009an,r,54899.0,4.407895613468478e-15,4.042860884430358e-17
SN2009an,V,54889.0,5.937322124487913e-15,5.036069775158659e-17
SN2009an,B,54898.0,9.672132457330472e-15,9.544057832188474e-17
SN2002er,R,52526.0,4.0323680342562675e-15,4.5554663275715494e-17
SN2002er,B,52524.0,7.47017647952398e-15,3.1119223543731213e-17
