name,filter,mjd_max,flux_max,flux_err_max
SN1999dn,V,51417.0,nan,nan
SN2008bo,V,54568.0,nan,nan
SN2015ah,V,57248.0,nan,nan
SN2015ap,V,57285.0,nan,nan
SN2006aj,V,53794.0,nan,nan
SN2012ap,V,55976.0,nan,nan
ASASSN-15no,V,57243.0,16.524618783848098,0.024569330802051946
ASASSN-15no,g,57241.0,16.311932256740242,0.02746843412850543
ASASSN-15no,i,57241.0,16.52086793506396,0.035319511702922496
ASASSN-15no,r,57241.0,16.415455547217157,0.032601100858487254
ASASSN-15no,B,57244.0,16.6144650017914,0.03182409827753682
ASASSN-15no,z,57244.0,16.59453475604898,0.021837877588395248
DES17C1ffz,g,58094.0,21.03800214114172,0.036949662639279235
DES17C1ffz,r,58099.0,20.37348044977212,0.01623935667038297
DES17C1ffz,i,58100.0,20.331018506426553,0.015622558772489935
DES17C1ffz,z,58102.0,20.53280022909579,0.015524604541817373
LSQ14efd,V,56901.0,18.953333205243254,0.03615463646819579
LSQ14efd,B,56896.0,19.38571187890556,0.06323263177663731
LSQ14efd,g,56897.0,19.32189622965191,0.052822327580971225
LSQ14efd,i,56907.0,19.151406026908695,0.04412183560997356
LSQ14efd,r,56905.0,18.992133086206557,0.03416121820117111
PS1-12bqf,z,56256.0,21.612134042561454,0.05266818415511121
PS1-12bqf,i,56259.0,21.479312810677932,0.057000856505062314
PS1-12bqf,g,56239.0,21.695866163940938,0.055441495605519565
PS1-12bqf,r,56244.0,21.502628286166104,0.03899899908126206
PTF12gzk,R,56151.0,15.05111985174799,0.017969718815568088
PTF12gzk,B,56141.0,16.022437779592316,0.026020260789005274
PTF12gzk,i,56152.0,15.40815392773653,0.00841333615815263
PTF12gzk,r,56152.0,15.133699457419555,0.017018278042070966
PTF12gzk,g,56146.0,15.581946077650018,0.015654267313024033
PTF12gzk,I,56152.0,14.945792237392547,0.011821876170014674
PTF12gzk,V,56150.0,15.233788758557157,0.014245534242115776
PTF12hni,r,56150.0,18.537469541446495,0.03900597028207064
PTF12hni,i,56177.0,18.698696264909287,0.03682582222033035
PTF12hni,g,56177.0,19.42998899047384,0.031891706353325826
PTF15dtg,g,57354.0,19.18098260109682,0.125835637679956
PTF15dtg,r,57365.0,18.661563020464815,0.024810113562938482
PTF15dtg,i,57367.0,18.86703846875074,0.015425452387811253
PTF15dtg,B,57352.0,19.652864513283827,0.03314419414538145
SDSS-II SN 4664,r,53673.0,21.66828303931421,0.055081160798542805
SDSS-II SN 4664,i,53677.0,21.33517983036076,0.050276631056129686
SDSS-II SN 4664,g,53661.0,22.289564679720396,0.10365338570134033
SDSS-II SN 6520,r,53689.0,20.58806729725335,0.06289807153416861
SDSS-II SN 6520,i,53691.0,20.26028503613263,0.03916341680155087
SDSS-II SN 6520,g,53686.0,20.886317371144788,0.03561899724102957
SDSS-II SN 19045,r,54386.0,22.15786615274461,0.0787241399684674
SDSS-II SN 19045,g,54384.0,22.3121636036556,0.16073338488444
SDSS-II SN 19065,r,54396.0,20.92932456480648,0.05549551240200734
SDSS-II SN 19065,i,54396.0,20.720411940920286,0.06392153095795465
SDSS-II SN 19190,r,54411.0,21.719989173893048,0.05895191957892972
SDSS-II SN 19190,i,54419.0,21.60473221512826,0.07646516447907346
SDSS-II SN 19190,g,54395.0,22.508208455222977,0.10331909501065263
SDSS-II SN 19209,r,54387.0,21.080115791110355,0.03681196733869592
SDSS-II SN 19209,i,54386.0,21.132171412409036,0.07690898733905743
SN1954A,B,34849.0,10.482897935939086,0.058388775205565464
SN1954A,V,34895.0,11.751519498408218,0.0439590383467216
SN1962L,B,38005.0,13.92933304140048,0.02914676403741805
SN1962L,U,38003.0,14.167684097538363,0.053457690054114854
SN1962L,V,38007.0,13.210299335017918,0.060520663487168065
SN1972R,V,41676.0,15.786542486761483,0.052921634353607035
SN1972R,B,41710.0,16.87718687108648,0.04437011149582101
SN1976B,B,42876.0,15.297447899092816,0.03947087427600213
SN1976B,V,42877.0,14.367214397795616,0.09156867215020233
SN1983I,V,45456.0,13.409705449888735,0.08187140621869428
SN1983I,B,45468.0,15.054056733852775,0.05735618895681845
SN1983N,V,45530.0,11.22631965751203,0.0322367187887695
SN1983N,B,45531.0,11.300166517048398,0.07025609139463698
SN1984L,B,45944.0,14.373785847571288,0.071653970294415
SN1984L,V,45940.0,14.035697173727675,0.06177171534268183
SN1990B,V,47915.0,15.804868643298203,0.22467805955822176
SN1990B,B,47916.0,17.907255347623305,0.020111158071562215
SN1990B,R,47916.0,15.163582882744963,0.0561984021978748
SN1990B,I,47917.0,14.599438000018983,0.06924053056876193
SN1990I,V,48009.0,15.51566886918344,0.015450247011744609
SN1990I,B,48011.0,16.782493793225044,0.026796429611020495
SN1990I,R,48022.0,15.701172606674703,0.02088975031505932
SN1990I,I,48026.0,15.421528631428535,0.025233887282154723
SN1994I,B,49450.0,13.824620954964953,0.01697189034800948
SN1994I,I,49452.0,12.501115186855548,0.009052754735464037
SN1994I,R,49452.0,12.655082735216924,0.009932085409405959
SN1994I,V,49451.0,12.946683450561409,0.02612523722670581
SN1994I,U,49447.0,13.828500975840953,0.049468167616988155
SN1999ex,B,51497.0,17.335856369488468,0.006594957397240559
SN1999ex,I,51503.0,15.971785568410374,0.007101603566667133
SN1999ex,R,51502.0,16.254303025964248,0.005131216850078396
SN1999ex,U,51495.0,17.389479180513998,0.07262702535919724
SN1999ex,V,51500.0,16.62560097220454,0.006777099515396333
SN2004ao,B,53076.0,16.965971273870597,0.017340416182231484
SN2004ao,I,53076.0,14.551971727359025,0.00999340852446602
SN2004ao,R,53076.0,14.990332453862631,0.00957467022662834
SN2004ao,V,53076.0,15.559183510572197,0.012206357045752101
SN2004aw,B,53086.0,18.089633622480154,0.02598426842467492
SN2004aw,I,53098.0,16.481589647171862,0.011795865655280393
SN2004aw,R,53096.0,16.90039661172763,0.01048220453131368
SN2004aw,V,53091.0,17.321528571330926,0.011354690117135665
SN2004aw,U,53089.0,18.124803041507302,0.05301911070438322
SN2004dk,B,53237.0,15.822318263670365,0.01158137994333735
SN2004dk,V,53240.0,15.921679504645345,0.1276142725833231
SN2004dk,R,53243.0,14.544982446534817,0.014331212176395498
SN2004dk,I,53249.0,14.28729492713153,0.04199014804029884
SN2004dn,B,53227.0,18.642192850379395,0.05200812804597404
SN2004dn,R,53231.0,17.264960654919992,0.017674012512819574
SN2004dn,V,53229.0,17.793872478243802,0.036761182430445925
SN2004dn,I,53232.0,16.639730100396275,0.026878905660822287
SN2004fe,B,53316.0,17.50476339473353,0.007048784553396397
SN2004fe,V,53319.0,17.097641725698654,0.026204760906588943
SN2004fe,g,53317.0,17.251582932893037,0.006549972825731342
