name,fase
SN2013ai,56365.0
SN2006V,53823.0
SN2007il,54470.0
SN2007pk,54414.0
SN2008B,54476.0
SN2008bj,54660.0
SN2006it,54017.0
SN2008fq,54731.0
SN2009js,55225.0
SN2006au,53869.0
SN2002bx,52418.0
SN1986L,46819.6889121481
SN1990E,48064.49980242262
SN1990K,48081.57778811313
SN1991al,48521.09533973597
SN1999gi,51644.10286778032
SN1992af,48864.39312307456
SN1992ba,49013.543144884934
SN1999em,51596.48499251387
SN2001dc,52158.79258497395
SN2002gw,52659.76022378508
SN2002hx,52654.82168610679
SN2003B,52725.807894405225
SN2003bn,52813.42390257345
SN2003fb,52874.07207790978
SN2003gd,52840.722522545664
SN2003hn,52963.297144260185
SN2003T,52758.43681663737
SN2004dj,53291.046890528916
SN2004A,53127.23796371275
SN2004et,53392.0866311002
SN2005ay,53565.13969684251
SN2005cs,53678.39164274224
SN2006be,53899.060853586656
SN2007aa,54227.73463309951
SN2007od,54523.482190796385
SN2008aw,54601.12060163629
SN2008bx,54658.78586419686
SN2009at,54973.724599167384
SN2009dd,55042.76610908062
SN2013am,56481.68228475066
SN2013ej,56597.08139862916
SN2014cy,57029.396900620966
SN1998A,50885.0
